address,price,bedrooms,bathrooms_per_bedroom,full_bathrooms_filled,half_bathrooms,type,size_sqft,lot_size,lot_size_fixedunits
505 Kolson Cir Las Vegas NV 89119,197900,4,0.734790828853,3,0,Multi-Family Home,3528,7405.0,7405.0
2305 S 15Th St Las Vegas NV 89104,149900,2,0.734790828853,1,0,Multi-Family Home,1826,7405.0,7405.0
1368 Pattee Cir Las Vegas NV 89119,249900,4,0.734790828853,3,0,Multi-Family Home,3536,0.33,14375.0
901 Staffordshire Cir Las Vegas NV 89110,195000,1,0.734790828853,1,0,Multi-Family Home,2896,8712.0,8712.0
5411 Del Gado Dr Las Vegas NV 89103,198900,4,0.734790828853,3,0,Multi-Family Home,3716,87.0,87.0
1801 Elm Ave Las Vegas NV 89101,175000,1,0.734790828853,1,0,Multi-Family Home,4134,0.26,11326.0
2690 Atlantic St Las Vegas NV 89121,299999,4,0.734790828853,3,0,Multi-Family Home,4326,0.23,10019.0
5001 N Cimarron Rd Las Vegas NV 89149,549888,4,0.75,3,1,Single Family Home,3234,0.48,20909.0
3609 Gulf Shores Dr Las Vegas NV 89122,54900,3,0.666666666667,2,0,Single Family Home,1296,4356.0,4356.0
10743 Balmoral St Las Vegas NV 89141,265000,3,0.666666666667,2,1,Single Family Home,2079,4356.0,4356.0
7537 Crooked Branch St Las Vegas NV 89143,179999,3,0.666666666667,2,1,Single Family Home,1707,3049.0,3049.0
3455 Cape Cod Dr Las Vegas NV 89122,47900,2,1.0,2,0,Mfd/Mobile Home,1152,4791.0,4791.0
4585 Denaro Dr Las Vegas NV 89135,375000,2,1.0,2,0,Single Family Home,1683,8276.0,8276.0
2970 Picasso Cir Las Vegas NV 89121,267500,5,0.4,2,1,Single Family Home,2827,8712.0,8712.0
6911 Bering Strait Ave Unit Lot 50 Las Vegas NV 89179,267955,3,0.666666666667,2,1,Single Family Home,2050,2613.0,2613.0
8625 Butterchurn Ave Las Vegas NV 89143,239900,4,0.5,2,0,Single Family Home,2126,6098.0,6098.0
7614 Keating Cir Las Vegas NV 89147,229900,4,0.75,3,0,Single Family Home,1968,0.24,10454.0
10100 Stony Ridge Dr Las Vegas NV 89144,1299000,4,1.0,4,1,Single Family Home,4629,0.42,18295.0
6025 Crystal Brook Ct Las Vegas NV 89149,549900,4,0.75,3,1,Single Family Home,3231,0.45,19602.0
Las Vegas NV 89113,485000,5,0.8,4,0,Single Family Home,3878,6969.0,6969.0
5955 Hopkinsville Ct Las Vegas NV 89148,399900,5,0.8,4,0,Single Family Home,3468,9583.0,9583.0
4509 Harbison Canyon Ct Las Vegas NV 89130,189900,3,0.666666666667,2,1,Single Family Home,1636,2613.0,2613.0
6422 Enchanting Ct Las Vegas NV 89156,184990,3,0.666666666667,2,1,Single Family Home,1938,7405.0,7405.0
717 Willowick Ave North Las Vegas NV 89031,169990,4,0.5,2,0,Single Family Home,1498,6098.0,6098.0
6204 Govett Crescent Ct Las Vegas NV 89130,204900,4,0.5,2,1,Single Family Home,1916,2613.0,2613.0
7979 Teal Harbor Ave Las Vegas NV 89117,192000,3,0.666666666667,2,0,Single Family Home,1244,3920.0,3920.0
500 Elm Dr Unit 206 Las Vegas NV 89169,99000,1,1.0,1,1,Condo/Townhome/Row Home/Co-Op,770,,
480 King Richard Unit 21 Las Vegas NV 89119,25000,2,1.0,2,0,Condo/Townhome/Row Home/Co-Op,862,,
844 Paseo Rocoso Pl Las Vegas NV 89138,372000,4,0.5,2,1,Single Family Home,2648,5662.0,5662.0
8645 Stone Harbor Ave Las Vegas NV 89145,285900,4,0.5,2,0,Single Family Home,2102,7405.0,7405.0
Las Vegas NV 89139,280000,4,0.5,2,1,Single Family Home,2226,4356.0,4356.0
3360 W Le Baron Ave Las Vegas NV 89141,350000,3,0.666666666667,2,0,Single Family Home,2047,0.5,21780.0
10102 Glen Aire Ave Las Vegas NV 89148,259900,3,0.666666666667,2,1,Single Family Home,2032,3484.0,3484.0
5505 Escallonia St Las Vegas NV 89149,259000,3,0.666666666667,2,0,Single Family Home,1977,7840.0,7840.0
5926 W Agate Ave Las Vegas NV 89139,160000,3,0.666666666667,2,1,Single Family Home,1231,3049.0,3049.0
Las Vegas NV 89081,160000,4,0.5,2,1,Single Family Home,1792,5227.0,5227.0
5040 Spring Oak St Las Vegas NV 89120,219000,3,0.666666666667,2,0,Single Family Home,1817,7405.0,7405.0
8356 Lovers Knot Ct Las Vegas NV 89131,490000,4,0.75,3,1,Single Family Home,3638,0.34,14810.0
3295 W Torino Ave Las Vegas NV 89139,480000,4,0.75,3,1,Single Family Home,3051,0.67,29185.0
8759 Green Ridge Ave Las Vegas NV 89178,349900,3,1.0,3,0,Single Family Home,2118,5227.0,5227.0
5525 Magi Ranch Ct Las Vegas NV 89131,300000,4,0.5,2,1,Single Family Home,2653,8712.0,8712.0
11081 Mount Pendleton St Unit Lot 237 Las Vegas NV 89179,280676,4,0.5,2,1,Single Family Home,2476,2613.0,2613.0
11033 Mount Pendleton St Unit Lot 231 Las Vegas NV 89179,277449,3,0.666666666667,2,1,Single Family Home,2297,2613.0,2613.0
6844 Brier Creek Ln Las Vegas NV 89131,234000,3,0.666666666667,2,0,Single Family Home,1658,5227.0,5227.0
317 Raptors View Ave North Las Vegas NV 89031,219000,3,0.666666666667,2,0,Single Family Home,2275,6534.0,6534.0
6384 Moonmist Ave Las Vegas NV 89108,140000,2,1.0,2,0,Single Family Home,1213,6098.0,6098.0
5596 Fire Island Dr Las Vegas NV 89120,399900,5,1.0,5,0,Single Family Home,4527,0.47,20473.0
Las Vegas NV 89104,175000,3,0.666666666667,2,1,Single Family Home,1622,4356.0,4356.0
11560 Whipkey St Las Vegas NV 89183,289900,5,0.6,3,0,Single Family Home,2774,4791.0,4791.0
6200 Seagirt Cir Las Vegas NV 89110,175000,4,0.5,2,0,Single Family Home,1560,8276.0,8276.0
3750 Las Vegas Blvd S Unit 2708 Las Vegas NV 89158,2169000,2,1.0,2,1,Condo/Townhome/Row Home/Co-Op,2910,,
3564 Sedwick Dr Las Vegas NV 89129,195000,3,0.666666666667,2,1,Single Family Home,1770,4356.0,4356.0
11437 Parkersburg Ave Las Vegas NV 89138,295000,3,0.666666666667,2,1,Single Family Home,1922,3920.0,3920.0
7892 Windhamridge Dr Las Vegas NV 89139,165900,3,0.666666666667,2,1,Single Family Home,1476,4791.0,4791.0
3647 Wild Springs St Las Vegas NV 89129,149990,2,1.0,2,1,Single Family Home,1141,2178.0,2178.0
375 Lewis Ave Overton NV 89101,149900,4,0.5,2,0,Single Family Home,1676,2.85,124146.0
6628 Biltmore Garden St Las Vegas NV 89149,179990,3,0.666666666667,2,1,Single Family Home,1542,2613.0,2613.0
10959 Fishers Island St Las Vegas NV 89141,275000,3,0.666666666667,2,1,Single Family Home,2350,5662.0,5662.0
8929 James Carl Ct Las Vegas NV 89149,179990,4,0.75,3,1,Single Family Home,1670,1742.0,1742.0
5362 Panaca Spring St Las Vegas NV 89122,169000,3,0.666666666667,2,1,Single Family Home,1600,2178.0,2178.0
5996 Pyrite Nugget Ave Las Vegas NV 89122,125000,3,0.333333333333,1,1,Single Family Home,1106,2613.0,2613.0
6832 Momentos St Las Vegas NV 89149,179990,3,0.666666666667,2,1,Single Family Home,1522,3049.0,3049.0
8716 Castle Ridge Ave Las Vegas NV 89129,348500,3,0.666666666667,2,0,Single Family Home,2604,7840.0,7840.0
4956 Crooked Stick Way Las Vegas NV 89113,299900,2,1.0,2,0,Condo/Townhome/Row Home/Co-Op,1917,,
1059 Sidehill Way Las Vegas NV 89110,290000,3,0.666666666667,2,0,Single Family Home,1930,0.46,20038.0
Las Vegas NV 89135,269000,3,0.666666666667,2,1,Single Family Home,1878,6534.0,6534.0
359 Trailing Putt Way Las Vegas NV 89148,265000,3,0.666666666667,2,1,Single Family Home,1831,3484.0,3484.0
2217 Diamondback Dr Las Vegas NV 89117,260000,4,0.5,2,1,Single Family Home,2052,6098.0,6098.0
9304 Chilly Pond Ave Las Vegas NV 89129,235000,5,0.4,2,1,Single Family Home,2092,4791.0,4791.0
8405 Cinnamon Hill Ave Las Vegas NV 89129,186000,3,0.666666666667,2,1,Single Family Home,1649,4356.0,4356.0
3732 Stowe Creek Ave North Las Vegas NV 89081,179000,4,0.75,3,0,Single Family Home,2001,3484.0,3484.0
2428 Indian Sage Way Las Vegas NV 89108,155000,3,0.666666666667,2,0,Single Family Home,1338,6969.0,6969.0
7712 Constanso Ave # 812 Las Vegas NV 89128,149900,3,0.666666666667,2,0,Condo/Townhome/Row Home/Co-Op,1344,3267.0,3267.0
2996 Gavilan Ln Las Vegas NV 89122,117500,3,0.666666666667,2,0,Single Family Home,1617,4791.0,4791.0
2774 Sorrel St Las Vegas NV 89146,399500,3,0.666666666667,2,0,Single Family Home,2932,0.47,20473.0
5831 Rebecca Rd Las Vegas NV 89130,350000,4,0.75,3,1,Single Family Home,2678,0.47,20473.0
6310 Golden Goose Ln Las Vegas NV 89118,474888,4,0.75,3,1,Single Family Home,4024,0.36,15682.0
8409 Viceroy Ln Las Vegas NV 89117,259000,4,0.75,3,0,Single Family Home,2390,7840.0,7840.0
9675 Summer Lilac Ct Las Vegas NV 89123,349900,5,0.6,3,0,Single Family Home,2982,6098.0,6098.0
9874 Spider Creek Ct Las Vegas NV 89149,587663,4,1.0,4,0,Single Family Home,4552,0.45,19602.0
2300 Delina Dr Las Vegas NV 89134,539000,5,0.8,4,1,Single Family Home,3846,9147.0,9147.0
7521 Dry Pines Cir Las Vegas NV 89129,335900,3,0.666666666667,2,1,Single Family Home,2582,0.25,10890.0
7904 Quiet Canyon St Las Vegas NV 89113,244900,3,0.666666666667,2,0,Single Family Home,1418,4791.0,4791.0
1424 Silk Tassel Dr Las Vegas NV 89117,218000,4,0.5,2,1,Single Family Home,1870,4791.0,4791.0
6776 Quinella Dr Las Vegas NV 89103,205000,4,0.75,3,0,Single Family Home,2266,7405.0,7405.0
1407 Commanche Dr Las Vegas NV 89169,165000,3,1.0,3,0,Single Family Home,2431,8276.0,8276.0
3006 La Barca Ln Las Vegas NV 89122,53000,2,1.0,2,0,Mfd/Mobile Home,1568,5662.0,5662.0
3665 Estes Park Dr Las Vegas NV 89122,40000,2,1.0,2,0,Mfd/Mobile Home,910,3484.0,3484.0
3602 Huerta Dr Las Vegas NV 89121,74900,3,0.666666666667,2,0,Mfd/Mobile Home,1344,8276.0,8276.0
4233 Carnation Ln Las Vegas NV 89108,66000,3,0.666666666667,2,0,Mfd/Mobile Home,1120,6969.0,6969.0
3234 Chimayo Ln Las Vegas NV 89122,80000,3,0.666666666667,2,0,Mfd/Mobile Home,1440,4791.0,4791.0
5995 Yellowstone Ave Las Vegas NV 89156,85000,2,1.0,2,0,Mfd/Mobile Home,1456,6534.0,6534.0
3421 Ballarat St Las Vegas NV 89115,40000,3,0.333333333333,1,0,Mfd/Mobile Home,1440,8712.0,8712.0
3439 Cape Cod Dr Las Vegas NV 89122,61500,2,1.0,2,0,Mfd/Mobile Home,1152,4791.0,4791.0
5355 E Monroe Ave Las Vegas NV 89110,145000,3,0.666666666667,2,1,Mfd/Mobile Home,1406,0.55,23958.0
5301 Tipper Ave Las Vegas NV 89122,118000,3,1.0,3,0,Single Family Home,1374,1742.0,1742.0
4050 Pacific Harbors Dr Unit 114 Las Vegas NV 89121,109500,3,0.666666666667,2,0,Condo/Townhome/Row Home/Co-Op,1065,,
4428 W Lake Mead Blvd Unit 201 Las Vegas NV 89108,77900,2,1.0,2,0,Condo/Townhome/Row Home/Co-Op,1081,,
571 Roxella Ln Apt B Las Vegas NV 89110,65500,2,0.5,1,1,Condo/Townhome/Row Home/Co-Op,1008,1045.0,1045.0
2717 Cyrano St Henderson NV 89044,680000,5,1.0,5,1,Single Family Home,4048,7840.0,7840.0
12248 Caminita Pl Las Vegas NV 89138,610000,5,0.6,3,0,Single Family Home,3540,6969.0,6969.0
7517 Rushing Current St Las Vegas NV 89131,424900,4,0.75,3,1,Single Family Home,3014,0.46,20038.0
11929 Luna Del Mar Ln Las Vegas NV 89138,375000,3,0.666666666667,2,1,Single Family Home,1792,7405.0,7405.0
2534 Braehead Ln Henderson NV 89044,363000,3,1.0,3,0,Single Family Home,2835,7405.0,7405.0
6757 Quinella Dr Las Vegas NV 89103,240000,4,0.75,3,0,Single Family Home,2260,6534.0,6534.0
3904 Lighthouse Ave Las Vegas NV 89110,124990,3,0.333333333333,1,0,Single Family Home,1092,6534.0,6534.0
1928 Via Firenze Henderson NV 89044,225000,3,1.0,3,0,Condo/Townhome/Row Home/Co-Op,1933,2613.0,2613.0
4848 Powell Ave Las Vegas NV 89121,199900,3,0.666666666667,2,1,Single Family Home,1878,6098.0,6098.0
537 Midsummer Ave Las Vegas NV 89183,135000,3,0.666666666667,2,1,Single Family Home,1230,1742.0,1742.0
1904 Plaza Del Padre Las Vegas NV 89102,299900,4,0.5,2,1,Single Family Home,2366,5662.0,5662.0
3108 Pearl Harbor Dr Las Vegas NV 89117,299750,3,0.666666666667,2,1,Single Family Home,2593,0.24,10454.0
7467 Benlomond Ave Las Vegas NV 89179,260000,4,0.5,2,1,Single Family Home,1943,3484.0,3484.0
11285 Penrose Falls St Las Vegas NV 89179,250000,4,0.75,3,0,Single Family Home,2566,4356.0,4356.0
8308 Wildwood Glen Dr Las Vegas NV 89131,149900,3,0.666666666667,2,1,Single Family Home,1384,2613.0,2613.0
4664 Laurentia Ave Las Vegas NV 89141,574900,4,0.75,3,1,Single Family Home,4552,8276.0,8276.0
8316 Valleybreeze Ave Las Vegas NV 89129,235000,4,0.5,2,1,Single Family Home,1930,4356.0,4356.0
8968 Dulcimer Ln Las Vegas NV 89123,184900,3,0.666666666667,2,0,Single Family Home,1473,4356.0,4356.0
2675 Bothwell Pl Henderson NV 89044,324900,4,0.75,3,1,Single Family Home,2666,5662.0,5662.0
6114 Evening View St Las Vegas NV 89031,225000,5,0.6,3,0,Single Family Home,2206,6098.0,6098.0
4048 E Boston Ave Las Vegas NV 89104,155000,4,0.5,2,1,Single Family Home,1592,6098.0,6098.0
2600 W Harmon Ave # 15021 Las Vegas NV 89158,459888,1,1.0,1,1,Condo/Townhome/Row Home/Co-Op,823,,
2541 Bechamel Pl Henderson NV 89044,429500,5,0.6,3,1,Single Family Home,3250,9147.0,9147.0
10158 Glorious Moon Ct Las Vegas NV 89178,314900,3,1.0,3,0,Single Family Home,2407,6534.0,6534.0
7109 Montcliff Ave Las Vegas NV 89147,189900,4,0.5,2,0,Single Family Home,1509,6098.0,6098.0
2700 Las Vegas Blvd S Unit 905 Las Vegas NV 89109,215000,1,1.0,1,0,Condo/Townhome/Row Home/Co-Op,778,,
3919 Karen Ave Las Vegas NV 89121,65000,4,0.5,2,0,Single Family Home,1248,7405.0,7405.0
10506 Rusty Railroad Ave Las Vegas NV 89135,278000,2,1.0,2,1,Single Family Home,1983,4356.0,4356.0
5293 San Anselmo St Las Vegas NV 89120,100000,4,0.5,2,0,Single Family Home,1507,6098.0,6098.0
Las Vegas NV 89110,94900,3,0.666666666667,2,0,Single Family Home,1152,5227.0,5227.0
3352 Fico Ave Las Vegas NV 89141,175000,2,1.0,2,1,Single Family Home,1552,2178.0,2178.0
Las Vegas NV 89103,95000,2,1.0,2,0,Condo/Townhome/Row Home/Co-Op,1008,,
4873 S Torrey Pines Dr Unit 101 Las Vegas NV 89103,59900,1,1.0,1,0,Condo/Townhome/Row Home/Co-Op,569,,
2750 S Durango Dr Apt 2061 Las Vegas NV 89117,98000,3,0.666666666667,2,0,Condo/Townhome/Row Home/Co-Op,1098,2395.0,2395.0
2636 Soledad Way North Las Vegas NV 89030,79900,3,0.333333333333,1,1,Single Family Home,1008,6534.0,6534.0
652 Magrath St Las Vegas NV 89178,184900,3,0.666666666667,2,1,Single Family Home,1732,3049.0,3049.0
4634 Sheppard Dr Las Vegas NV 89122,149990,4,0.5,2,0,Single Family Home,1674,5662.0,5662.0
8904 Borla Dr Las Vegas NV 89117,144900,2,1.0,2,0,Single Family Home,1120,6098.0,6098.0
6513 Alta Dr Las Vegas NV 89107,109000,3,0.666666666667,2,0,Single Family Home,1038,6969.0,6969.0
604 N 1St St Las Vegas NV 89101,89950,2,0.5,1,0,Single Family Home,896,6534.0,6534.0
8600 W Charleston Blvd Apt 2010 Las Vegas NV 89117,88900,2,1.0,2,0,Condo/Townhome/Row Home/Co-Op,998,,
4655 Gold Dust Ave Unit 238 Las Vegas NV 89120,80000,2,1.0,2,0,Condo/Townhome/Row Home/Co-Op,1151,,
1831 Camino Verde Ln Las Vegas NV 89119,79900,2,1.0,2,0,Condo/Townhome/Row Home/Co-Op,1358,,
5140 Evaline St Las Vegas NV 89120,599000,5,0.6,3,2,Single Family Home,4452,0.46,20038.0
9670 Quarterhorse Ln Las Vegas NV 89178,469000,5,0.8,4,1,Single Family Home,4265,6098.0,6098.0
8100 Winchester Bluff St Las Vegas NV 89131,449000,4,0.75,3,1,Single Family Home,3156,0.46,20038.0
512 Silver Grove St Las Vegas NV 89144,389900,3,1.0,3,0,Single Family Home,2886,5227.0,5227.0
9237 Forest Meadows Ave Las Vegas NV 89149,329900,4,0.75,3,0,Single Family Home,2948,4791.0,4791.0
6566 Grand Concourse St Las Vegas NV 89166,290000,4,0.5,2,1,Single Family Home,2909,3920.0,3920.0
3128 Baranek Ave Henderson NV 89044,280000,3,0.666666666667,2,1,Single Family Home,2420,3049.0,3049.0
9313 Dry Dock Dr Las Vegas NV 89117,274900,3,0.666666666667,2,1,Single Family Home,2196,5227.0,5227.0
707 Roddenberry Ave Las Vegas NV 89123,259000,4,0.75,3,0,Single Family Home,2087,4791.0,4791.0
9336 Netherfield Ave Las Vegas NV 89178,216300,3,0.666666666667,2,1,Single Family Home,1846,2613.0,2613.0
7637 Lookout Hill St Las Vegas NV 89149,203500,3,0.666666666667,2,1,Single Family Home,1723,3484.0,3484.0
2546 Venus Star St Henderson NV 89044,289500,3,0.666666666667,2,0,Single Family Home,1768,5227.0,5227.0
2857 Paradise Rd Unit 1104 Las Vegas NV 89109,440000,2,1.0,2,1,Condo/Townhome/Row Home/Co-Op,2050,,
8433 Spencer Canyon St Las Vegas NV 89166,166900,3,0.666666666667,2,1,Single Family Home,1559,2178.0,2178.0
1209 Norman Ave Las Vegas NV 89104,125000,3,0.666666666667,2,0,Single Family Home,1164,6098.0,6098.0
1309 Plum Canyon St Las Vegas NV 89142,114900,2,0.5,1,1,Single Family Home,1278,1742.0,1742.0
10968 Tranquil Waters Ct Las Vegas NV 89135,995000,4,0.75,3,1,Single Family Home,3302,0.36,15682.0
10173 Hollis Mountain Ave Las Vegas NV 89148,229000,3,0.666666666667,2,1,Single Family Home,2327,3484.0,3484.0
7814 Kings Cove Ct # 5412 Las Vegas NV 89145,125000,2,1.0,2,0,Condo/Townhome/Row Home/Co-Op,1058,,
500 Grey Cloud St Unit 103 Las Vegas NV 89145,95000,2,1.0,2,0,Condo/Townhome/Row Home/Co-Op,1108,1089.0,1089.0
284 Bella Matese Ave Henderson NV 89183,235000,4,0.75,3,0,Single Family Home,2297,3484.0,3484.0
8070 W Russell Rd Unit 1132 Las Vegas NV 89113,69000,1,1.0,1,0,Condo/Townhome/Row Home/Co-Op,593,609.0,609.0
9786 Silver Desert Ave Las Vegas NV 89148,265000,4,0.75,3,0,Single Family Home,2443,4791.0,4791.0
1422 Echo Falls Ave Las Vegas NV 89183,199900,2,1.0,2,0,Single Family Home,1508,4791.0,4791.0
7308 Queen Palm Dr Las Vegas NV 89128,188000,4,0.5,2,1,Single Family Home,1858,4791.0,4791.0
1312 Woodbridge Dr Las Vegas NV 89108,220000,3,0.666666666667,2,0,Single Family Home,1597,6969.0,6969.0
Las Vegas NV 89119,129999,3,0.666666666667,2,0,Single Family Home,1080,7405.0,7405.0
6904 Camp Fire Rd Las Vegas NV 89145,121000,3,0.666666666667,2,0,Single Family Home,1354,6969.0,6969.0
11748 Via Vera Cruz Ct Las Vegas NV 89138,435000,4,0.5,2,1,Single Family Home,2461,6098.0,6098.0
7982 Pomona Valley Ct Las Vegas NV 89178,175000,4,0.5,2,1,Single Family Home,1686,3049.0,3049.0
10765 Gilespie St Las Vegas NV 89183,775000,4,0.75,3,1,Single Family Home,4451,1.14,49658.0
11284 Corsica Mist Ave Las Vegas NV 89135,364900,3,0.666666666667,2,1,Single Family Home,1873,3920.0,3920.0
9516 Victory Garden Ave Las Vegas NV 89149,215000,3,1.0,3,0,Single Family Home,2116,3920.0,3920.0
6800 Selkirk Cir Las Vegas NV 89108,185950,4,0.5,2,1,Single Family Home,1859,6969.0,6969.0
3726 Las Vegas Blvd S Unit 2406 Las Vegas NV 89158,519000,1,1.0,1,0,Condo/Townhome/Row Home/Co-Op,997,,
5498 Levens Ct Las Vegas NV 89141,399900,5,0.6,3,0,Single Family Home,3199,7840.0,7840.0
930 Denberry Way Las Vegas NV 89123,299900,4,0.75,3,0,Single Family Home,2469,9147.0,9147.0
6771 Quinella Dr Las Vegas NV 89103,254900,4,0.75,3,0,Single Family Home,2266,6969.0,6969.0
9328 Muddy Waters Ave Las Vegas NV 89178,249900,3,1.0,3,0,Single Family Home,2022,3484.0,3484.0
10260 Cherry Brook St Las Vegas NV 89183,194900,3,0.666666666667,2,1,Single Family Home,1605,2613.0,2613.0
2721 Trotwood Ln Las Vegas NV 89108,170000,3,1.0,3,0,Single Family Home,1574,5662.0,5662.0
2405 Luberon Dr Henderson NV 89044,589900,3,1.0,3,0,Single Family Home,2587,9147.0,9147.0
